key,en,zh-Hans
metadata_fields:source_organisation_5,작성기관,机构
metadata_fields:source_organisation_6,작성기관,机构
metadata_fields:source_other_info_1,비고,其他资料
metadata_fields:source_other_info_2,비고,其他资料
metadata_fields:source_other_info_3,비고,其他资料
metadata_fields:source_other_info_4,비고,其他资料
metadata_fields:source_other_info_5,비고,其他资料
metadata_fields:source_other_info_6,비고,其他资料
metadata_fields:source_periodicity_1,작성주기,周期性
metadata_fields:source_periodicity_2,작성주기,周期性
metadata_fields:source_periodicity_3,작성주기,周期性
metadata_fields:source_periodicity_4,작성주기,周期性
metadata_fields:source_periodicity_5,작성주기,周期性
metadata_fields:source_periodicity_6,작성주기,周期性
metadata_fields:source_release_date_1,공표일,发布日期
metadata_fields:source_release_date_2,공표일,发布日期
metadata_fields:source_release_date_3,공표일,发布日期
metadata_fields:source_release_date_4,공표일,发布日期
metadata_fields:source_release_date_5,공표일,发布日期
metadata_fields:source_release_date_6,공표일,发布日期
metadata_fields:source_statistical_classification_1,통계분류,统计分类
metadata_fields:source_statistical_classification_2,통계분류,统计分类
metadata_fields:source_statistical_classification_3,통계분류,统计分类
metadata_fields:source_statistical_classification_4,통계분류,统计分类
metadata_fields:source_statistical_classification_5,통계분류,统计分类
metadata_fields:source_statistical_classification_6,통계분류,统计分类
metadata_fields:source_url_1,출처 바로가기,连接到数据源
metadata_fields:source_url_2,출처 바로가기,连接到数据源
metadata_fields:source_url_3,출처 바로가기,连接到数据源
metadata_fields:source_url_4,출처 바로가기,连接到数据源
metadata_fields:source_url_5,출처 바로가기,连接到数据源
metadata_fields:source_url_6,출처 바로가기,连接到数据源
metadata_fields:target,세부목표명,目标名称
metadata_fields:target_id,세부목표 번호,目标数字
metadata_fields:un_custodian_agency,소관 국제기구,联合国托管机构
metadata_fields:un_designated_tier,티어(Tier),联合国指定层
status:exploring_data_sources,작업중,探索数据源
status:not_applicable,Not applicable,不适用
status:overall_reporting_status,총괄 현황 -,整体上报状况
status:reported_online,이용가능,已在线上上报
status:reporting_status,지표 현황,上报状况
status:statistics_in_progress,Statistics in progress,统计在进行中
status:status_by_goal,목표별 현황,目标状况
menu:about,About,关于
menu:contact_us,Contact us,联系我们
menu:cookies,Cookies,Cookies
menu:faq,FAQ,常见问题解答
menu:guidance,Guidance,指引
menu:menu,Menu,目录
menu:publications,Publications,出版物
menu:reporting_status,Reporting Status,上报状况
menu:updates,Updates,
global_goals:1-short,Zero hunger,无贫穷
global_goals:10-short,Reduced inequalities,减少不平等
global_goals:11-short,Sustainable cities & communities,可持续城市和社区
global_goals:12-short,Responsible consumption and production,负责任消费和生产
global_goals:13-short,Climate action,气候行动
global_goals:14-short,Life below water,水下生物
global_goals:15-short,Life on land,陆地生物
global_goals:16-short,Peace and justice - strong institutions,和平、正义与强大机构
global_goals:17-short,Partnerships for the goals,促进目标现实的伙伴关系
global_goals:2-short,Zero hunger,零饥饿
global_goals:3-short,Good health and well-being,良好健康与福祉
global_goals:4-short,Quality education,优质教育
global_goals:5-short,Gender equality,性别平等
global_goals:6-short,Clean water and sanitation,清洁饮水和卫生设施
global_goals:7-short,Affordable and clean energy,经济适用的清洁能源
global_goals:8-short,Decent jobs and economic growth,体面工作和经济增长
global_goals:9-short,"Industry, innovation and infrastructure",创业、创新和基础设施
post:posts_by_category,Posts by Category,按分类发布的帖子
post:view_all_in_category,View all posts in the %category_name category,显示此分类的所有帖子
header:alpha,Alpha,Alpha
header:default_contrast,Default contrast,默认对比
header:disable_high_contrast,Disable high contrast,禁用高对比度
header:disclaimer,"This is a development website. We welcome your <a href=""mailto:%email_address"">feedback</a>.",这是一个发展中的网站。欢迎您向我们发送反馈意见。
header:enable_high_contrast,Enable high contrast,启用高对比度
header:high_contrast,High contrast,高对比度
header:skip_link,Skip to main content,跳到主要内容
header:tag_line,17 Goals to Transform our World,变革世界的17个目标
frontpage:heading,[테스트 중입니다] 한국의 SDGs 지표,%name可持续发展目标指标的数据
frontpage:instructions,"지표별 상세 데이터를 확인하시려면, 아래 아이콘을 클릭하시거나 %before_link 검색창 %after_link 을 이용하시기 바랍니다.",点击每一个目标查询或自行%before_link搜索%after_link各个国家的可持续发展目标全球指标统计。
general:facebook,Facebook,Facebook
general:goal,목표,目标
general:goals,목표,目标
general:home,Home,首页
general:indicator,지표,指标
general:indicators,개 지표,指标
general:loading,검색 결과를 불러오고 있습니다.,加载搜索结果
general:opens_new_window,새 창에서 열기,在新窗口中打开
general:sdg,지속가능발전목표,可持续发展目标
general:target,세부목표,目标
general:targets,세부목표,目标
general:twitter,Twitter,Twitter
