key,en,am
global_indicators:1-1-1-title,국제 빈곤선 미만에서 살고 있는 인구의 성·연령·고용상태 및 지역(도시/농촌)별 비율,"Աղքատության միջազգային շեմից ցած ապրող բնակչության համամասնությունը՝ ըստ սեռի, տարիքային խմբի, զբաղվածության կարգավիճակի և աշխարհագրական վայրի (քաղաքային/գյուղական)"
global_indicators:1-2-1-title,국가 빈곤선 미만에서 살고 있는 인구의 성 및 연령별 비율,Աղքատության ազգային շեմից ցած ապրող բնակչության համամասնությունը՝ ըստ սեռի և տարիքային խմբի 
global_indicators:1-2-2-title,"국가별 정의에 따른 모든 차원의 빈곤 속에  살고 있는 모든 연령의 남성, 여성 및 아동의 비율","Ըստ ազգային սահմանումների աղքատության բոլոր ձևերի մեջ ապրող բոլոր տարիքների տղամարդկանց, կանանց և երեխաների համամասնությունը "
global_indicators:1-3-1-title,사회적 보호 최저선/체계의 적용을 받는 인구의 성·특수아동·실업자·노령자·장애인·임산부·신생아·산업재해피해자·빈곤층 및 취약계층별 비율,"Սոցիալական պաշտպանության երաշխիքների խմբերում և (կամ) համակարգերում ընդգրկված բնակչության համամասնությունը՝ ըստ սեռի, և առանձնացնելով երեխաներին, գործազուրկ անձանց, տարեցներին, հաշմանդամություն ունեցող անձանց, հղի կանանց և (կամ) նորածիններին, աշխատանքի վայրում վնասվածք ստացածներին, աղքատներին և խոցելիներին"
global_indicators:1-4-1-title,기초 서비스에 접근 가능한 가구에 살고 있는 인구 비율,Հիմնական ծառայությունների հասանելիություն ունեցող տնային տնտեսություններում ապրող բնակչության համամասնությունը 
global_indicators:1-4-2-title,법적으로 인정된 문서를 통해 안정된 토지권을 갖고 토지에 대한 권리가 보장되었다고 여기는 성인 인구의 성 및 보유형태별 비율,"Հողի զբաղեցման ապահով իրավունք ունեցող չափահաս բնակչության ամբողջական թիվը՝ ըստ սեռի ու զբաղեցման իրավունքի տեսակի, իրավական փաստաթղթերով և ովքեր կարող են վկայել իրենց իրավունքի ապահով լինելու մասին"
global_indicators:1-5-1-title,"100,000명당 재난으로 인해 사망, 실종, 직접적 피해(affected)를 받은 인구 수","Աղետների պատճառով մահվան դեպքերի, անհետ կորածների տուժածների թիվը 100 հազար մարդու հաշվով"
global_indicators:1-5-2-title,국내총생산(GDP) 대비 재난으로 인한 직접적인 경제적 손실액,Աղետների պատճառած տնտեսական ուղղակի վնասը կապված ՀՆԱ¬ի հետ 
global_indicators:1-5-3-title,「재난위험감축을 위한 센다이프레임워크(2015-2030)」에 따라 국가적인 재난위험감축전략을 채택하고 이행하는 국가의 수,Աղետների ռիսկերի կրճատման վերաբերյալ ազգային ու տեղական ռազմավարություններ ընդունած և իրականացնող երկրների քանակը համաձայն ՙ<<Աղետների ռիսկի նվազեցման Սենդայի 2015-2030 թթ. գործողությունների ծրագրին՚՚>>
global_indicators:1-5-4-title,국가의 재난위험감축전략에 따라 지자체 차원에서 재난위험감축전략을 갖추고 있는 비율,Աղետների ռիսկերի նվազեցման վերաբերյալ ռազմավարություն ընդունած և իրականացնող տեղական կառավարությունների համամասնությունը՝ համաձայն ազգային աղետների ռիսկի նվազեցման ռազմավարության 
global_indicators:1-a-1-title,정부가 빈곤감소 프로그램에 직접 할당한 국내재원 비율,Աղքատության նվազեցման ծրագրերին կառավարության տրամադրած ներքին միջոցների համամասնությունը 
global_indicators:1-a-2-title,"정부 총지출 중 필수 서비스 (교육, 의료 및 사회적 보호)에 소요되는 지출 비율","Էական ծառայությունների (կրթություն, առողջապահություն և սոցիալական պաշտպանություն) վրա կատարված ծախսերը՝ արտահայտված որպես պետական ընդհանուր ծախսերի համամասնությունը "
global_indicators:1-a-3-title,GDP 대비 빈곤감소 프로그램에 직접 할당되는 비부채성 자금유입과 총 보조금의 합,Աղքատության նվազեցման ծրագրերին ուղղակիորեն հատկացված ընդհանուր դրամաշնորհների և ոչ պարտքային հոսքերի  գումարը  որպես ՀՆԱ-ի համամասնություն 
global_indicators:1-b-1-title,"여성, 빈곤층 그리고 취약계층에 상대적으로 혜택을 주는 부문에 지출되는 정부의 경상 및 투자 지출 비율","Կառարավության ընթացիկ ու կապիտալ ծախսումների համամասնությունը, որոնցից անհամաչափորեն օգտվում են կանայք, աղքատներն ու խոցելի խմբերը  "
global_indicators:10-1-1-title,총인구 및 소득 하위 40% 인구의  가구지출 성장률 혹은 1인당 소득 성장률,Տնային տնտեսությունների ծախսերի կամ մեկ շնչին ընկնող եկամտի աճի ցուցանիշները բնակչության ստորին 40 տոկոսի և ամբողջ բնակչության շրջանում 
global_indicators:10-2-1-title,"중위소득 50% 미만 인구의 성, 연령 및 장애별 비율","Եկամտի միջնարժեքի 50 տոկոսից ցածր սպառում ունեցող մարդկանց համամասնությունը՝ ըստ տարիքի, սեռի և հաշմանդամություն ունենալու հանգամանքի "
global_indicators:10-3-1-title,국제인권법 차별금지기준으로 지난 12개월 동안 차별 또는 괴롭힘을 당했다고 느꼈음을 보고한 인구의 비율,"Բնակչության համամասնությունը, որը հաղորդել է, որ նախորդ 12 ամսվա ընթացքում անձամբ իր նկատմամբ զգացել է խտրականություն կամ ենթարկվել է ոտնձգությունների, որոնք արգելվում են համաձայն մարդու իրավունքների միջազգային իրավունքի "
global_indicators:10-4-1-title,GDP 중 임금과 사회보장이전으로 구성된 노동소득비율,"ՀՆԱ¬ի մեջ աշխատուժի բաժնեմասը, որը կազմված է աշխատավարձերից և սոցիալական պաշտպանության փոխանցումներից "
global_indicators:10-5-1-title,금융건전성지표(Financial Soundness Indicators),Ֆինանսական կայունության ցուցանիշներ
global_indicators:10-6-1-title,국제기구에서 개발도상국의 회원 및 투표권(voting rights) 비율,Միջազգային կազմակերպություններում զարգացող երկրներից անդամների և նրանց քվեարկելու իրավունքի համամասնությունը
global_indicators:10-7-1-title,이주국가에서 얻은 연소득 대비 이주근로자가 부담하는 고용비용의 비율,Վարձու աշխատողի կրած հավաքագրման ծախքը որպես մեկնման երկրում վաստակած տարեկան եկամտի տոկոս
global_indicators:10-7-2-title,잘 관리되는 이주정책을 이행하고 있는 국가의 수,Երկրների թիվը որոնք ունեն լավ կառավարվող միգրացիոն քաղաքականություն 
global_indicators:10-a-1-title,관세가 없는 최빈개도국/개발도상국으로부터의 수입에 부과되는 관세선 비율,Առավել թույլ զարգացած երկրներից և զարգացող երկրներից զրոյական սակագնով կատարված ներմուծումների նկատմամբ կիրառված սակագնային տողերի համամասնությունը 
global_indicators:10-b-1-title,"공여국과 수원국별 개발을 위한 총자원 자원투입(예 - ODA, 해외직접투자 및 기타 투입)","Զարգացմանն ուղղված միջոցների ընդհանուր հոսքերը ըստ ընդունող և դոնոր երկրների և հոսքի տեսակի (օրինակ՝ զարգացմանն ուղղված պաշտոնական աջակցություն, օտարերկրյա ուղղակի ներդրումներ և այլ հոսքեր)"
global_indicators:10-c-1-title,송금총액에서 송금비용의 비율,Դրամական փոխանցումների ծախսերը՝ արտահայտված որպես փոխանցված գումարի համամասնություն 
global_indicators:11-1-1-title,"빈민가, 임시거처 또는 최소한의 요건을 갖추지 못한 주거시설에 거주하는 도시인구비율","Հետնախորշերում, ոչ ֆորմալ բնակավայրերում կամ անբավարար բնակարանային պայմաններում ապրող քաղաքային բնակչության համամասնությունը "
global_indicators:11-2-1-title,"대중교통에 편리하게 접근할 수 있는 인구비율(연령, 성 및 장애별)","Բնակչության համամասնությունը, որի համար հարմարավետ կերպով հասանելի է հասարակական տրանսպորտը՝ ըստ սեռի, տարիքի և հաշմանդամություն ունենալու հանգամանքի"
global_indicators:11-3-1-title,인구성장률 대비 토지소모 비율,Հողերի օգտագործման և բնակչության աճի ցուցանիշների հարաբերակցությունը 
global_indicators:11-3-2-title,정기적이고 민주적으로 운영되는 도시계획 및 관리에 시민사회가 직접 참여하는 구조를 가지고 있는 도시의 비율,"Քաղաքների պլանավորման և կառավարման մեջ քաղաքացիական հասարակության ուղղակի մասնակցության կառուցվածք ունեցող քաղաքների համամասնությունը, որոնք գործում են կանոնավոր և ժողովրդավար ձևով "
global_indicators:11-4-1-title,"모든 문화 및 자연유산의 보존, 보호 및 관리에 배정된 1인당 총 지출액(유산종류(문화, 자연, 복합, 세계유산센터 등재), 정부유형(중앙, 광역, 시군), 지출종류(운영비/투자)), 민간자금종류(기부, 민간, 비영리, 스폰서)별)","Մշակութային և բնական ժառանգության բոլոր օբյեկտների պահպանման ու պաշտպանության մեկ շնչին ընկնող ընդհանուր ծախսը (պետական և մասնավոր)՝ ըստ ժառանգության տեսակի (մշակութային, բնական, խառը և Համաշխարհային ժառանգության կենտրոնի նշումով), կառավարման մակարդակի (պետական, մարզային և տեղական/քաղաքային), ծախսերի տեսակի (գործառնական ծախսում/ներդրում) և մասնավոր ֆինանսավորման տեսակի (բնեղեն նվիրատվություններ, մասնավոր շահույթ չհետապնդող հատված և հովանավորչություն) "
global_indicators:11-5-1-title,"인구 100,000 명당 재난으로 인해 사망, 실종, 직접적 피해를 입은 인구 수","Աղետների պատճառով մահվան դեպքերի, անհետ կորածների և տուժածների թիվը 100 հազար մարդու հաշվով"
global_indicators:11-5-2-title,중요 기반시설 피해 및 기본적인 서비스의 중단 등 재난으로 인한 GDP 대비 직접적인 경제적 손실,"Աղետների պատճառած տնտեսական ուղղակի վնասը կապված գլոբալ ՀՆԱ¬ի հետ, ներառյալ աղետների պատճառած վնասը կարևորագույն ենթակառուցվածքներին, և հիմնական ծառայությունների խաթարումը"
global_indicators:11-6-1-title,도시에서 발생하는 전체 고형 폐기물 중  정기적으로 수거되고 적절한 최종처리단계를 거치는 도시 고형 폐기물 비율(도시별),Կանոնավոր հիմունքներով հեռացվող և համարժեք կերպով վերջնակետում բեռնաթափվող քաղաքային կենցաղային կոշտ թափոնների համամասնությունը՝ քաղաքի գոյացրած ընդհանուր թափոնների համեմատ՝ ըստ քաղաքների 
global_indicators:11-6-2-title,도시 미세먼지의 연평균수준 (인구수에 따른 가중),"Մանր մասնիկավոր նյութերի տարեկան միջին մակարդակները (օրինակ, PM2.5 և PM10) քաղաքներում (կշռված ըստ բնակչության) "
global_indicators:11-7-1-title,"도시에서 공공목적의 용도를 위해 개방된 공용 공간이 차지하는 평균비율 (연령, 성 및 장애별)","Քաղաքների կառուցապատված տարածքների միջին բաժնեմասը, որը հանրային օգտագործման նպատակով բաց տարածք է բոլորի համար՝ ըստ սեռի, տարիքի և հաշմանդամություն ունենալու հանգամանքի "
global_indicators:11-7-2-title,"지난 12개월 동안 신체적 혹은 성적 괴롭힘을 당한 인구의 성, 연령, 장애, 발생장소별 비율","Ֆիզիկական կամ սեռական ոտնձգությունների ենթարկված մարդկանց համամասնությունը՝ ըստ սեռի, տարիքի, հաշմանդամություն ունենալու հանգամանքի և բռնության կատարման վայրի՝ վերջին 12 ամսում "
global_indicators:11-a-1-title,인구 추계와 자원 수요를 통합하여 수립된 도시 및 지역발전계획을 이행하는 도시에 거주하는 인구의 비율 (도시크기별),"Քաղաքներում բնակվող բնաչության համամասնությունը, որոնք իրականացնում են քաղաքային և տարածաշրջանային զարգացման պլաններ՝ ինտեգրելով բնակչության կանխատեսումները և ռեսուրսների կարիքները՝ ըստ քաղաքի չափի "
global_indicators:11-b-1-title,「재난위험감축을 위한 센다이프레임워크 (2015-2030)」에 따라 국가재난위험감축전략을 채택하고 이행하는 국가의 수,"Երկրների քանակը, որոնք ընդունում և իրականացնում են աղետների ռիսկի նվազեցման ազգային ռազմավարություն՝ համաձայն ՝ Աղետների ռիսկի նվազեցման 2015¬2030թթ. Սենդայի շրջանակի"
global_indicators:11-b-2-title,국가의 재난위험감축전략에 따라 지자체 차원에서 재난위험감축전략을 갖추고 있는 비율,"Տեղական կառավարությունների համամասնությունը, որոնք որդեգրում և իրականացնում են աղետների ռիսկի նվազեցման տեղական ռազմավարություն՝ համաձայն ազգային աղետների ռիսկերի նվազեցման ռազմավարությանը"
global_indicators:11-c-1-title,최빈개도국 내 현지 자원을 이용하여 지속가능하고 회복력 있으며 자원효율적인 건물을 짓고 재건축하는데 소요되는 최빈개도국 재정지원비율,"Ֆինանսական աջակցության համամասնությունը առավել թույլ զարգացած երկրներին, որը հատկացված է տեղական շինանյութերի օգտագործմամբ կատարվող կայուն, դիմակայուն և ռեսուրսաարդյունավետ շենքերի կառուցմանն ու արդիականացմանը "
global_indicators:12-1-1-title,지속가능한 소비 및 생산(SCP) 국가실행계획이나 SCP를 주류로 하는 계획을 갖고 있는 국가 수,Կայուն սպառման և արտադրության (ԿՍԱ) ազգային գործողությունների ծրագրեր ունեցող կամ իրենց ազգային քաղաքականություններում կայուն սպառումը և արտադրությունը որպես գերակայություն կամ թիրախ ընդգրկած երկրների թիվը 
global_indicators:12-2-1-title,"총 및 1인당 물질발자국, GDP 대비 물질발자국","Պաշարների սպառման ցուցանիշը, նույնը ըստ մեկ շնչի, նույնը ըստ ՀՆԱ¬ի "
global_indicators:12-2-2-title,"총 및 1인당 물질소비량, GDP 대비 물질소비량","Պաշարների ներքին սպառումը, նույնը ըստ մեկ շնչի, նույնը ըստ ՀՆԱ¬ի "
global_indicators:12-3-1-title,글로벌식량손실지수(GFLI),Պարենի գլոբալ կորստի համաթիվ 
global_indicators:12-4-1-title,유해 폐기물과 기타 화학물질에 대한 국제 다자간 환경협약이 요구하는 정보제공에 관한 약속과 의무를 이행하는 당사국 수,"Վտանգավոր և այլ քիմիական նյութերի և թափոնների վերաբերյալ միջազգային բազմակողմ բնապահպանական համաձայնագրերի կողմերի թիվը, որոնք կատարում են տեղեկությունների հաղորդման իրենց հանձնառություններն ու պարտավորությունները, ինչպես դա պահանջվում է յուրաքանչյուր համապատասխան համաձայնագրով "
global_indicators:12-4-2-title,1인당 발생시키는 유해폐기물과 유해폐기물 처리 비율(처리유형별),Վտանգավոր թափոնների գոյացումը ըստ մեկ շնչի և աղտազերծված թափոնների համամասնությունը՝ ըստ աղտազերծման տեսակի
global_indicators:12-5-1-title,"국가 재활용 비율, 물질재활용 톤","Վերամշակման ազգային ցուցանիշը, վերամշակված նյութը տոննաներով "
global_indicators:12-6-1-title,지속가능성 보고서를 발간하는 기업의 수,Կայունության վերաբերյալ հաշվետվություններ հրապարակող ընկերությունների թիվը 
global_indicators:12-7-1-title,지속 가능한 공공 조달 정책들과 실행 계획들을 이행하는 국가들의 수,Պետական գնումների կայուն քաղաքականություններ և գործողությունների ծրագրեր իրականացնող երկրների թիվը 
global_indicators:12-8-1-title,(i) 세계시민교육 (ii)지속가능발전교육(기후변화교육포함)이 (a)국가교육정책 (b) 교육과정 (c) 교사교육 그리고 (d) 학생평가 등 모든 영역에서 주류화 정도,"Թե ինչ չափով են (i) գլոբալ քաղաքացիության կրթությունն ու (ii) կրթություն հանուն կայուն զարգացման առարկաները (ներառյալ կլիմայի փոփոխության մասին կրթությունը) ընդգրկված (ա) ազգային կրթության ռազմավարության, (բ) առարկայացանկի, (գ) ուսուցիչների վերապատրաստման, (դ) աշակերտների գնահատման մեջ "
global_indicators:12-a-1-title,지속가능한 생산소비 및 환경 친화적인 기술분야 연구개발을 위해 개발도상국에 지원되는 금액,"Զարգացող երկրներին՝ հետազոտության և կայուն սպառման ու արտադրության մշակման, ինչպես նաև բնապահպանական առումով անվտանգ տեխնոլոգիաների համար տրամադրվող օժանդակության քանակը "
global_indicators:12-b-1-title,합의된 모니터링과  평가수단을 가진 지속가능한 관광 전략이나 정책 그리고 이행을 위한 실행계획의 수,Կայուն տուրիզմի ռազմավարության կամ քաղաքականության և իրականացված գործողությունների ծրագրերի թիվը համաձայնեցված մշտադիտարկման ու գնահատման գործիքներով 
global_indicators:12-c-1-title,GDP 단위(생산과 소비)당 화석연료보조금액수 및 화석연료에 대한 총 국가지출대비 화석연료 보조금 비율,Հանածո վառելիքի սուբսիդիաների քանակը ՀՆԱ¬ի մեկ միավորի հաշվով (արտադրություն և սպառում) և որպես հանածո վառելանյութերի վրա կատարված ազգային ընդհանուր ծախսերի համամասնությունը 
global_indicators:13-1-1-title,"100,000명당 재난으로 인해 사망, 실종, 직접적 피해(affected)를 받은 인구 수","Աղետների պատճառով մահվան դեպքերի, անհետ կորածների և տուժածների թիվը 100 հազար մարդու հաշվով"
global_indicators:13-1-2-title,재난위험감축을 위한 센다이프레임워크(2015-2030)에 따라 국가적인 재난위험감축전략을 채택하고 이행하는 국가의 수,"Երկրների քանակը, որոնք ընդունում և իրականացնում են աղետների ռիսկի նվազեցման ազգային ռազմավարություն համաձայն ՙՙՙՙ<<Աղետների ռիսկի նվազեցման 2015¬2030թթ. Սենդայի շրջանակի>>"
global_indicators:13-1-3-title,국가의 재난위험감축전략에 따라 지자체 차원에서 재난위험감축전략을 갖추고 있는 비율,"Տեղական կառավարությունների համամասնությունը, որոնք որդեգրում և իրականացնում են աղետների ռիսկի նվազեցման տեղական ռազմավարություն՝ համաձայն ազգային աղետների ռիսկերի նվազեցման ռազմավարության "
global_indicators:13-2-1-title,"식량 생산을 위협하지 않는 방식으로 기후변화의 부정적인 영향에 적응하고, 기후회복력을 배양하고 온실가스배출을 줄일 수 있는 통합된 정책, 전략, 계획을 수립하거나 운영하는 것을 논의해 온 국가의 수(국가 적응계획, 국가 온실가스 감축 기여방안, 국가보고서, 격년별로 갱신되는 보고서 등을 포함)","Երկրների թիվը, որոնք հայտնել են այնպիսի ինտեգրված քաղաքականության/ռազմավարության/ ծրագրի ստեղծման կամ գործնականացման մասին, որով ավելանում է կլիմայի փոփոխության անբարենպաստ ներգործության նկատմամբ իրենց հարմարվելու կարողությունը, և խթանում կլիմայի նկատմամբ դիմակայունությունը, ինչպես նաև ջերմոցային գազի ցածր արտանետումների այնպիսի զարգացումը, որը չվտանգի պարենի արտադրությունը (ներառյալ ազգային հարմարվողականության ծրագիր, պետականորեն սահմանված ներդրում, պետական հաղորդակցություն, երկու տարին մեկ հաշվետու զեկույցներ կամ այլն) "
global_indicators:13-3-1-title,"완화, 적응, 영향 저감, 조기 경보를 초중고등 교육과정에 포함시킨 국가들의 수","Երկրների թիվը, որոնք (բացասական հետևանքների) մեղմացման, հարմարվողականության, ազդեցության նվազեցման և վաղ նախազգուշացման թեմաներն ընդգրկել են տարրական, միջնակարգ և բարձրագույն ուսումնական ծրագրերում "
global_indicators:13-3-2-title,"적응, 완화, 그리고 기술 이전 및 개발 이행을 위한 기관, 시스템, 그리고 개인의 역량 강화를 논의해온 국가의 수","Երկրների թիվը, որոնք հայտնել են հարմարվողականության, (բացասական հետևանքների) մեղմացման ու տեխնոլոգիաների փոխանցման, ինչպես նաև զարգացման գործողությունների կատարման ուղղությամբ իրենց ինստիտուցիոնալ, համակարգային և անհատական կարողությունների ստեղծման հզորացման մասին "
global_indicators:13-a-1-title,약속된 1천 억 달러 재원 조성에 대해 2020~2025년 실제 모금되는 연도별 금액,2020-ից 2025 թթ. ամեն տարի մոբիլիզացվող գումարը ԱՄՆ դոլարով՝ 100 մլրդ-ի հանձնառությանը հաշվետու կերպով 
global_indicators:13-b-1-title,"여성, 청소년, 지역 및 소외 공동체에 초점을 맞추는 것을 포함하여, 효과적인 기후변화 관련 계획과 관리 역량을 제고하기 위한 매커니즘 개발을 위해 금융, 기술, 역량배양을 비롯한 특별지원과 지원금을 받고 있는 최빈 개도국과 군소 도서개발국의 수","Առավել թույլ զարգացած երկրների և զարգացող փոքր կղզի-պետությունների թիվը, որոնք ստանում են մասնագիտացված աջակցություն (և այդ ստացված աջակցության քանակը, ներառյալ՝ ֆինանսները, տեխնոլոգիան ու կարողությունների ստեղծումը) կլիմայի փոփոխություններին առնչվող արդյունավետ պլանավորում և կառավարում իրականացնելու նպատակով կարողություններ զարգացնելու մեխանիզմների համար, այդ թվում՝ ուշադրության կիզակետում պահելով կանանց, երիտասարդներին և տեղական ու մեկուսացված համայնքներին "
global_indicators:14-1-1-title,연안해역 부영양화지수 및 부유성 플라스틱 부유성 폐기물 밀도,Ծովափնյա ճահճացման և պոլիէթիլենային լողացող աղբի խտության համաթիվը 
global_indicators:14-2-1-title,생태계 기반의 접근방식으로 관리되는 국가의 배타적 경제수역의 비율,Էկոհամահարգային մոտեցումներով կառավարվող ազգային բացառիկ տնտեսական գոտիների համամասնությունը 
global_indicators:14-3-1-title,합의된 대표 표본 추출 지점들에서 측정되는 평균 해양산도(pH),Ծովի ջրի միջին թթվայնությունը (pH)՝ չափված ներկայացուցչական նմուշառման կայանների համաձայնեցված հավաքակազմում 
global_indicators:14-4-1-title,생물학적으로 지속 가능한 수준에서의 어족자원의 비율,Կենսաբանորեն կայուն մակարդակների սահմաններում գտնվող ձկնային պաշարների համամասնությունը 
global_indicators:14-5-1-title,해양 면적 대비 보호구역의 비율,Հատուկ պահպանվող տարածքների ծածկույթը ծովային տարածքների համեմատ 
global_indicators:14-6-1-title,불법·비보고·비규제 어업을 근절하기 위한 국제적 수단을 이행하는 국가별 진척도,"Անօրինական, չգրանցված և չկարգավորված ձկնորսության դեմ պայքարում երկրների միջազգային իրավական գործիքների օգտագործման առաջընթացի աստիճանը "
global_indicators:14-7-1-title,"군소도서 개발국, 최빈개도국 그리고 모든 국가의 GDP 중 지속가능한 어업 비율","Կայուն ձկնաբուծական տնտեսությունները, որպես փոքր կղզի-պետությունների, թույլ զարգացած երկրների ու բոլոր երկրների ՀՆԱ-ի տոկոս "
global_indicators:14-a-1-title,전체 연구예산 중 해양기술부문 연구에 할당된 예산비율,Բյուջետային հատկացումները ծովային տեխնոլոգիաների հետազոտմանը՝ արտահայտված որպես հետազոտական աշխատանքներին հատկացված ընդհանուր բյուջեի համամասնություն 
global_indicators:14-b-1-title,소규모 영세어민을 위해 해양자원에 대한 접근을 인정하고 보호하는 법/규제/정책/제도적인 프레임워크의 국가별 적용 단계에서의 진척도,"Երկրների առաջընթացը իրավական/կարգավորող/քաղաքականության/ինստիտուցիոնալ դաշտի իրականացման գործում, որը ճանաչում և պաշտպանում է փոքր ձկնորսական տնտեսությունների մուտքի իրավունքը "
global_indicators:14-c-1-title,"대양과 그 자원의 보존 및 지속가능한 이용을 위해 법, 정책, 제도를 통해 유엔해양법협약에 반영되어 있는 것과 같이 국제법을 이행하기 위한 대양관련 장치를  비준, 적용하고 이행하는 과정에서 진전을 보이는 국가의 수","Համաձայն Ծովային իրավունքի ՄԱԿ-ի կոնվենցիայի օվկիանոսների և նրանց պաշարների պահպանության ու կայուն օգտագործման սկզբունքի միջազգային իրավունքի իրագործման միջոցով իրավական, քաղաքականության և ինստիտուցիոնալ շրջանակների, օվկիանոսների հետ առնչություն ունեցող իրավական գործիքների վավերացման, ընդունման ու կատարման մեջ առաջընթաց գրանցած երկրների թիվը "
global_indicators:15-1-1-title,총 육지면적중 산림 면적의 비율,Անտառածածկ տարածքները՝ արտահայտված որպես ընդհանուր հողային տարածքների տոկոս 
global_indicators:15-1-2-title,육상 및 담수 생물다양성을 위한 보호지역 지정 비율 (생태계 유형별),"Ցամաքային և քաղցրահամ ջրի կենսաբազմազանության կարևոր տեղանքների համամասնությունը, որոնք ընդգրկված են պահպանվող տարածքներում՝ ըստ էկոհամակարգի տեսակի "
global_indicators:15-2-1-title,지속가능한 산림경영 이행상황,Անտառների կայուն կառավարման նկատմամբ առաջընթաց 
global_indicators:15-3-1-title,국토면적 대비 황폐화 지역 비율,Վատթարացած հողի համամասնությունը ընդհանուր հողային տարածքների նկատմամբ 
global_indicators:15-4-1-title,산림생물다양성 관련 중요 보호지역 면적,Լեռների կենսաբազմազանության համար կարևոր տարածքների ներառվածությունը բնության հատուկ պահպանվող տարածքներում 
global_indicators:15-4-2-title,산림피복 지수(Mountain Green Cover Index),Լեռների կանաչ ծածկույթի համաթիվ 
global_indicators:15-5-1-title,적색목록지수(Red list Index,Կարմիր ցուցակի համաթիվ 
global_indicators:15-6-1-title,"공정하고  공평한 혜택 분배를 보장하기 위해 입법적, 행정적 그리고 정책적 프레임워크를 채택한 국가의 수","Երկրների թիվը, որոնք ընդունել են օրենսդրական, վարչական և ռազմավարական շրջանակներ ապահովելու շահույթի ազնիվ և արդարացի բաշխում "
global_indicators:15-7-1-title,불법적으로 거래되거나 밀렵된 야생생물의 거래 비율,Որսագողությամբ կամ ապօրինի ձևով վաճառված վայրի բնության նմուշների համամասնությունը 
global_indicators:15-8-1-title,외래칩입종의 유입 예방과 통제를 위해 국가 차원의 법률과 적당한 수단을 채택하고 있는 국가의 비율,Օտար ինվազիվ տեսակների կանխման կամ վերահսկմանն առնչվող ազգային համապատասխան օրենսդրության ընդունման համամասնությունը
global_indicators:15-9-1-title,「생물다양성 전략계획2011-2020」의 Aichi 타겟2에 따라 수립된 국가 목표의 진전도,2011-2020թթ. Կենսաբազմազանության ռազմավարական ծրագրի Աիչի կենսաբամազանության 2-րդ թիրախին համահունչ ստեղծված ազգային թիրախների առաջընթացը 
global_indicators:15-a-1-title,생물 다양성과 생태계 보존과 지속가능한 이용을 위한 ODA 및 공공지출,Զարգացմանն ուղղված պաշտոնական օգնություն և հանրային ծախսեր կենսաբազմազանության և էկոհամակարգերի պահպանման և կայուն օգտագործման համար 
global_indicators:15-b-1-title,생물 다양성과 생태계의 지속가능한 이용과 보존을 위한 ODA 및 공공지출,Զարգացմանն ուղղված պաշտոնական օգնություն և հանրային ծախսեր կենսաբազմազանության և էկոհամակարգերի պահպանման և կայուն օգտագործման համար
