key,en,ru
global_targets:11-3---title,"2030년까지 포괄적이고 지속가능한 도시화와, 참여, 통합 및 지속가능한 거주지 계획 및 관리 역량 강화","К 2030 году расширить масштабы открытой
для всех и экологически устойчивой урбанизации и
возможности для комплексного и устойчивого планирования
населенных пунктов и управления ими на
основе широкого участия во всех странах"
global_targets:11-4---title,세계문화 및 자연유산 보호 노력 강화,"Активизировать усилия по защите и сохранению
всемирного культурного и природного наследия"
global_targets:11-5---title,"2030년까지, 빈곤층과 취약계층 보호에 초점을 맞추어, 수해 등 재난으로 인한 사망자 및 피해자수를 대폭 줄이고 세계 총 GDP대비 직접적인 경제적 손실을 대폭 감소","К 2030 году существенно сократить число погибших
и пострадавших и значительно уменьшить
прямой экономический ущерб в виде потерь мирового
валового внутреннего продукта в результате
бедствий, в том числе связанных с водой, уделяя
особое внимание защите малоимущих и уязвимых
групп населения"
global_targets:11-6---title,"대기의 질과 지자체 등의 폐기물 특별 관리를 포함하여, 2030년까지 도시화로 인한 부정적인 환경영향(인구 1인당)을 감소","К 2030 году уменьшить негативное экологическое
воздействие городов в пересчете на душу населения,
в том числе посредством уделения особого
внимания качеству воздуха и удалению городских и
других отходов"
global_targets:11-7---title,"2030년까지 포괄적이고 안전하며 보편적으로 접근 가능한 녹색 및 공공장소 제공 (특히, 여성, 아동, 노인, 장애인)","К 2030 году обеспечить всеобщий доступ к
безопасным, доступным и открытым для всех зеленым
зонам и общественным местам, особенно для
женщин и детей, пожилых людей и инвалидов"
global_targets:11-a---title,"국가 및 지역개발계획을 강화하여 도시, 근교도시 그리고 농촌간의 긍정적인 경제, 사회 및 환경적 연결고리를 지원","Поддерживать позитивные экономические, социальные
и экологические связи между городскими,
пригородными и сельскими районами на основе повышения
качества планирования национального и
регионального развития"
global_targets:11-b---title,"2020년까지 포용, 자원 효율, 기후 변화에 대한 완화와 적응, 재난에 대한 회복력을 위한 통합 정책 및 계획을 채택, 시행하는 도시와 거주지의 수를 대폭 확대하고, 2015-2030년 재난위험감소를 위한 센다이 프레임워크에 맞추어 모든 수준에서의 통합적인 재난위기관리를 구축하고 시행함","К 2020 году значительно увеличить число городов
и населенных пунктов, принявших и осуществляющих
комплексные стратегии и планы,
направленные на устранение социальных барьеров,
повышение эффективности использования ресурсов,
смягчение последствий изменения климата, адаптацию
к его изменению и способность противостоять
стихийным бедствиям, и разработать и внедрить в
соответствии с Сендайской рамочной программой
по снижению риска бедствий на 2015–2030 годы
меры по комплексному управлению связанными с
бедствиями рисками на всех уровнях"
global_targets:11-c---title,최빈개도국이 지역 건설자재를 사용하여 지속가능하고 탄력적인 건물을 만들 수 있도록 재원 및 기술적 지원을 비롯한 다양한 지원,"Оказывать наименее развитым странам содействие,
в том числе посредством финансовой и технической
помощи, в строительстве экологически устойчивых и прочных зданий с использованием
местных материалов"
global_targets:12-1---title,"선진국 주도하에, 개발도상국들의 역량과 발전을 고려하여, 지속가능한 소비 및 생산에 대한 10년 주기 프로그램 이행","Осуществлять Десятилетнюю стратегию действий
по переходу к использованию рациональных
моделей потребления и производства с участием
всех стран, причем первыми к ней должны приступить
развитые страны, и с учетом развития и потенциала
развивающихся стран
"
global_targets:12-2---title,2030년까지 천연자원의 효율적인 사용 및 지속가능한 관리 달성,"К 2030 году добиться рационального освоения
и эффективного использования природных ресурсов"
global_targets:12-3---title,2030년까지 소매 및 소비자 수준에서 1인당 식품폐기물을 1/2로 감소하고 식품 생산 및 유통과정에서 발생하는 식품 손실량 감소,"К 2030 году сократить вдвое в пересчете на
душу населения общемировое количество пищевых
отходов на розничном и потребительском уровнях и
уменьшить потери продовольствия в производственно-сбытовых
цепочках, в том числе послеуборочные
потери"
global_targets:12-4---title,"2020년까지, 합의된 국제 프레임워크에 따라 화학물질 및 모든 폐기물에 대해 수명 주기 동안 친환경적인 관리를 달성하고, 이들이 인체 건강 및 환경에 끼치는 부정적 영향을 최소화하기 위해, 공기, 물, 토양으로의 배출을 크게 감소","К 2020 году добиться экологически рационального
использования химических веществ и всех
отходов на протяжении всего их жизненного цикла в
соответствии с согласованными международными
принципами и существенно сократить их попадание
в воздух, воду и почву, чтобы свести к минимуму их
негативное воздействие на здоровье людей и окружающую
среду"
global_targets:12-5---title,"2030년까지 방지, 감축, 재생 및 재사용을 통하여 폐기물 발생 감소","К 2030 году существенно уменьшить объем
отходов путем принятия мер по предотвращению их
образования, их сокращению, переработке и повторному
использованию"
global_targets:12-6---title,"기업들이(특히, 대기업 및 다국적기업) 보고체계에 지속가능성 관련 정보를 반영토록하고 지속가능한 기업 활동을 이행하도록 권고","Рекомендовать компаниям, особенно крупным
и транснациональным компаниям, применять устойчивые
методы производства и отражать информацию
о рациональном использовании ресурсов в
своих отчетах"
global_targets:12-7---title,국가정책 및 우선순위에 따라 지속가능한 공공조달 관행 촉진,"Содействовать обеспечению экологичной
практики государственных закупок в соответствии с
национальными стратегиями и приоритетами"
global_targets:12-8---title,2030년까지 모든 곳에서의 사람들이 지속가능발전과 자연과 조화로운 라이프스타일에 대한 의식 및 정보를 가질 수 있게 보장,"К 2030 году обеспечить, чтобы люди во всем
мире располагали соответствующей информацией и
сведениями об устойчивом развитии и образе жизни
в гармонии с природой"
global_targets:12-a---title,개발도상국이 지속가능한 소비 및 생산 방향으로 전환할 수 있게 과학기술 역량 강화 지원,"Оказывать развивающимся странам помощь в
наращивании их научно-технического потенциала
для перехода к более рациональным моделям потребления
и производства"
global_targets:12-b---title,일자리 창출 및 지역 문화 및 상품을 홍보하는 관광업의 지속가능발전 영향을 모니터링 하는 도구 개발 및 이행,"Разрабатывать и внедрять инструменты мониторинга
влияния, оказываемого на устойчивое развитие
устойчивым туризмом, который способствует
созданию рабочих мест, развитию местной культуры
и производству местной продукции"
global_targets:12-c---title,"조세구조 조정 및 유해 보조금의 단계적 폐지를 통한 시장왜곡 요인 제거를 포함하여 에너지낭비를 부추기는 비효율적인 화석 연료 보조금의 합리화 이행 (이때, 개발도상국의 특수한 상황과 수요를 충분히 고려하고 취약계층을 보호를 통해 개도국의 발전에 대한 악영향을 최소화함)","Рационализировать отличающееся неэффективностью
субсидирование использования ископаемого
топлива, ведущее к его расточительному потреблению,
посредством устранения рыночных диспропорций
с учетом национальных условий, в том
числе путем реорганизации налогообложения и постепенного
отказа от вредных субсидий там, где они
существуют, для учета их экологических последствий,
в полной мере принимая во внимание особые
потребности и условия развивающихся стран и
сводя к минимуму возможные негативные последствия
для их развития таким образом, чтобы защитить
интересы нуждающихся и уязвимых групп
населения"
global_targets:13-1---title,기후관련 위험요소와 자연재해에 대한 적응역량 및 탄력성 강화,"Повысить сопротивляемость и способность
адаптироваться к опасным климатическим явлениям
и стихийным бедствиям во всех странах"
global_targets:13-2---title,"국가정책, 전략 및 계획에 기후변화 조치 통합","Включить меры реагирования на изменение
климата в политику, стратегии и планирование на
национальном уровне"
global_targets:13-3---title,"기후 변화 완화, 적응, 영향 감소, 조기 경보에 대한 교육, 인식 고취, 인구 및 제도 역량 개선","Улучшить просвещение, распространение информации
и возможности людей и учреждений по
смягчению остроты и ослаблению последствий изменения
климата, адаптации к ним и раннему предупреждению"
global_targets:13-a---title,개발도상 국가들의 기후변화 완화 활동의 이행 및 녹색기후펀드의 완전한 운영을 위해 유엔기후변화협약 상의 선진국들의 공약인 연간 $1000억 동원 즉각 이행,"Выполнить взятое на себя развитыми странами,
являющимися участниками Рамочной конвенции
Организации Объединенных Наций об изменении
климата, обязательство достичь цели ежегодной
мобилизации к 2020 году общими усилиями 100
млрд. долл. США из всех источников для удовлетворения
потребностей развивающихся стран в контексте
принятия конструктивных мер по смягчению
остроты последствий изменения климата и обеспечения
прозрачности их осуществления, а также
обеспечить полномасштабное функционирование
Зеленого климатического фонда путем его капитализации
в кратчайшие возможные сроки"
global_targets:13-b---title,"최빈개도국의 효과적인 기후변화 관련 계획 및 관리 역량 제고 메카니즘 촉진(취약계층, 여성, 청소년 및 소외집단 포함)","Содействовать созданию механизмов по
укреплению возможностей планирования и управления,
связанных с изменением климата, в наименее
развитых странах и малых островных развивающихся
государствах, уделяя при этом повышенное
внимание женщинам, молодежи, а также местным и
маргинализированным общинам"
global_targets:14-1---title,"2025년까지 해양 폐기물과 영양분 오염을 포함하여, 모든 형태의 해양 오염 방지 및 감소","К 2025 году обеспечить предотвращение и существенное
сокращение любого загрязнения морской
среды, в особенности вследствие деятельности
на суше, включая загрязнение морским мусором и
питательными веществами"
global_targets:14-2---title,2020년까지 회복력 및 복원활동을 강화하여 해양 및 연안 생태계를 지속 가능하게 관리하고 보호  조치 실행,"К 2020 году обеспечить рациональное использование
и защиту морских и прибрежных экосистем
с целью предотвратить значительное отрицательное
воздействие, в том числе путем повышения стойкости
этих экосистем, и принять меры по их восстановлению
для обеспечения хорошего экологического
состояния и продуктивности океанов"
global_targets:14-3---title,모든 수준에서의 과학협력을 포함하여 해양 산성화 최소화 및 그 영향에 대응,"Минимизировать и ликвидировать последствия
закисления океана, в том числе благодаря развитию
научного сотрудничества на всех уровнях"
global_targets:14-4---title,"2020년까지 효과적인 어업 규제, 불법·비보고·비규제 어업, 남획, 파괴적인 어업 방법 금지; 최단시간에 어획량을 복원하기 위한 과학적 관리계획 이행","К 2020 году обеспечить эффективное регулирование
добычи и положить конец перелову, незаконному,
несообщаемому и нерегулируемому рыбному
промыслу и губительной рыбопромысловой
практике, а также выполнить научно обоснованные
планы хозяйственной деятельности, для того чтобы
восстановить рыбные запасы в кратчайшие возможные
сроки, доведя их по крайней мере до таких
уровней, которые способны обеспечивать максимальный
экологически рациональный улов с учетом
биологических характеристик этих запасов
"
global_targets:14-5---title,2020년까지 가용한 과학적 정보 및 국가법·국제법과 일관되게 최소 연안 및 해양지역의 10% 보호,"К 2020 году охватить природоохранными мерами
по крайней мере 10 процентов прибрежных и
морских районов в соответствии с национальным
законодательством и международным правом и на
основе наилучшей имеющейся научной информации"
global_targets:14-6---title,"WTO 어업보조금 협상에 개발도상국 및 최빈개도국에 대한 효과적인 특별대우가 중요함을 인정하고 2020년까지 생산과잉 및 남획, 불법·비보고·비규제 어업에 기여하는 특정형태의 어업 보조금 금지 그리고 이와 유사한 신규 보조금 도입 자제","К 2020 году запретить некоторые формы субсидий
для рыбного промысла, содействующие созданию
чрезмерных мощностей и перелову, отменить
субсидии, содействующие незаконному, несообщаемому
и нерегулируемому рыбному промыслу,
и воздерживаться от введения новых таких субсидий,
признавая, что надлежащее и эффективное применение
особого и дифференцированного режима в
отношении развивающихся и наименее развитых
стран должно быть неотъемлемой частью переговоров по вопросу о субсидировании рыбного промысла,
которые ведутся в рамках Всемирной торговой
организации
"
global_targets:14-7---title,2030년까지 해양자원의 지속가능한 사용 및 관리를 통하여 최빈개도국 및 군서도서 개발국의 경제적 이익 증가,"К 2030 году повысить экономические выгоды,
получаемые малыми островными развивающимися
государствами и наименее развитыми странами от
экологически рационального использования морских
ресурсов, в том числе благодаря экологически
рациональной организации рыбного хозяйства, аквакультуры
и туризма"
global_targets:14-a---title,"해양건강 개선 및 해양 다양성 강화를 통해 개발도상국가, 특히 군소도서 개발국과 최빈개도국들의 개발에 기여하도록 연구역량 증대 및 과학지식, 선진해양기술 이전(정부간해양학위원회의 해양기술이전에 대한 기준과 지침을 고려)","Увеличить объем научных знаний, расширить
научные исследования и обеспечить передачу морских
технологий, принимая во внимание Критерии и
руководящие принципы в отношении передачи морских
технологий, разработанные Межправительственной
океанографической комиссией, с тем
чтобы улучшить экологическое состояние океанской
среды и повысить вклад морского биоразнообразия
в развитие развивающихся стран, особенно малых
островных развивающихся государств и наименее
развитых стран"
global_targets:14-b---title,소규모 영세어업자들에 해양자원 및 시장 접근성 제공,"Обеспечить доступ мелких хозяйств, занимающихся
кустарным рыбным промыслом, к морским
ресурсам и рынкам
"
global_targets:14-c---title,우리가 원하는 미래 (The Future We Want) 보고서의 158번째 단락에서 상기된 대양 및 대양자원의 보전 및 지속가능한 이용을 위한 법적기반을 제시하는 UNCLOS에 반영된 국제법 이행을 통해 대양 및 대양 자원의 보전 및 지속가능한 이용을 개선,"Улучшить работу по сохранению и рациональному
использованию океанов и их ресурсов путем
соблюдения норм международного права, закрепленных
в Конвенции Организации Объединенных
Наций по морскому праву, которая, как отмечено в
пункте 158 документа «Будущее, которого мы хотим»,
закладывает юридическую базу для сохранения
и рационального использования Мирового океана
и его ресурсов
"
global_targets:15-1---title,"2020년까지, 국제 협약 의무에 따라, 특히 산림, 습지, 산, 건조지 등의 육지 및 내륙 담수 생태계와 그 서비스에 대한 보전, 복원 및 지속가능한 사용을 보장","К 2020 году обеспечить сохранение, восстановление
и рациональное использование наземных и
внутренних пресноводных экосистем и их услуг, в том числе лесов, водно-болотных угодий, гор и засушливых
земель, в соответствии с обязательствами,
вытекающими из международных соглашений"
global_targets:15-2---title,"2020년까지 모든 형태의 산림에 대한 지속가능한 관리를 촉진시키고, 산림벌채를 중단하고, 황폐화된 산림을 복원하고 전 세계적으로 조림과 재식림을 대폭 확대","К 2020 году содействовать внедрению методов
рационального использования всех типов лесов,
остановить обезлесение, восстановить деградировавшие
леса и значительно расширить масштабы лесонасаждения
и лесовосстановления во всем мире"
global_targets:15-3---title,"2030년까지 사막화 퇴치와 사막화, 가뭄, 홍수로 영향을 받은 토지를 포함하여, 황폐화된 토지 및 토양 복원, 그리고 토지 황폐화 가 없는 세계 달성을 위해 노력","К 2030 году вести борьбу с опустыниванием,
восстановить деградировавшие земли и почвы,
включая земли, затронутые опустыниванием, засухами
и наводнениями, и стремиться к тому, чтобы во
всем мире не ухудшалось состояние земель"
global_targets:15-4---title,"2030년까지 지속가능발전에 필수적인 이익을 주는 산림생태계의 수용력을 증진하기 위해, 생물다양성을 포함한 산림 생태계 보존을 보장","К 2030 году обеспечить сохранение горных
экосистем, в том числе их биоразнообразия, для того
чтобы повысить их способность давать блага, необходимые
для устойчивого развития"
global_targets:15-5---title,자연 서식지의 황폐화를 감소시키고 생물다양성의 손실을 중단시키기 위해 시급하고 대대적인 조치를 취하고 2020년까지 멸종위기 종을 보호하고  멸종을 예방,"Незамедлительно принять значимые меры по
сдерживанию деградации природных сред обитания,
остановить утрату биологического разнообразия и к
2020 году обеспечить сохранение и предотвращение
исчезновения видов, находящихся под угрозой вымирания"
global_targets:15-6---title,"국제적으로 합의된 바와 같이, 유전자원의 활용으로부터 발생하는 이익의 공정하고 공평한 분배 보장 및 유전자원에 대한 적절한 접근 증대","Содействовать справедливому распределению
благ от использования генетических ресурсов и способствовать
обеспечению надлежащего доступа к
таким ресурсам на согласованных на международном
уровне условиях"
global_targets:15-7---title,"보호동식물의 밀렵과 밀매 근절을 위한 즉각적인 행동을 촉구하고, 불법야생동식물제품의 수요와 공급에 대응","Незамедлительно принять меры для того,
чтобы положить конец браконьерству и контрабандной
торговле охраняемыми видами флоры и фауны и
решить проблемы, касающиеся как спроса на незаконные
продукты живой природы, так и их предложения"
global_targets:15-8---title,"2020년까지 육상 및 수중 생태계를 교란하는 외래종의 유입을 방지하고, 그로 인한 영향을 현저히 감소시키는 방안을 도입하며, 우선대응 및 대상종을 통제 및 박멸","К 2020 году принять меры по предотвращению
проникновения чужеродных инвазивных видов и по
значительному уменьшению их воздействия на
наземные и водные экосистемы, а также принять
меры по предотвращению ограничения численности
или уничтожения приоритетных видов"
